epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.5678,3.32064,0.05714,0.25714,3.25969,4.329e-05,4.329e-05,4.329e-05
2,50.8567,3.26348,0.02857,0.4,3.10176,8.6943e-05,8.6943e-05,8.6943e-05
3,73.5565,3.22341,0.08571,0.51429,3.03326,0.000127519,0.000127519,0.000127519
4,95.5737,3.1085,0.17143,0.62857,2.98725,0.000165018,0.000165018,0.000165018
5,117.414,3.03448,0.17143,0.6,2.91187,0.00019944,0.00019944,0.00019944
6,139.277,2.94646,0.14286,0.6,2.86511,0.000230786,0.000230786,0.000230786
7,161.874,2.85402,0.2,0.68571,2.6216,0.000259054,0.000259054,0.000259054
8,187.943,2.7998,0.25714,0.68571,2.89857,0.000256077,0.000256077,0.000256077
9,209.226,2.67281,0.31429,0.71429,2.39226,0.000245088,0.000245088,0.000245088
10,230.582,2.48201,0.31429,0.71429,2.01173,0.000234099,0.000234099,0.000234099
11,251.853,2.40675,0.37143,0.71429,2.53873,0.00022311,0.00022311,0.00022311
12,273.549,2.29151,0.34286,0.71429,2.32564,0.000212121,0.000212121,0.000212121
13,295.358,2.17248,0.37143,0.74286,2.03156,0.000201132,0.000201132,0.000201132
14,317.032,2.09649,0.37143,0.74286,1.95513,0.000190143,0.000190143,0.000190143
15,338.443,2.02474,0.34286,0.74286,2.18623,0.000179154,0.000179154,0.000179154
16,359.96,1.86901,0.42857,0.74286,2.04321,0.000168165,0.000168165,0.000168165
17,381.793,1.86195,0.42857,0.77143,1.67134,0.000157176,0.000157176,0.000157176
18,403.812,1.82139,0.51429,0.77143,2.01901,0.000146187,0.000146187,0.000146187
19,425.811,1.76727,0.51429,0.77143,1.54031,0.000135198,0.000135198,0.000135198
20,447.764,1.65456,0.48571,0.8,1.67991,0.000124209,0.000124209,0.000124209
21,469.637,1.62161,0.51429,0.82857,1.52215,0.00011322,0.00011322,0.00011322
22,491.649,1.55695,0.45714,0.85714,1.41354,0.000102231,0.000102231,0.000102231
23,513.388,1.50141,0.48571,0.85714,1.1421,9.1242e-05,9.1242e-05,9.1242e-05
24,535.214,1.53439,0.45714,0.88571,1.4136,8.0253e-05,8.0253e-05,8.0253e-05
25,557.326,1.5097,0.48571,0.88571,2.29428,6.9264e-05,6.9264e-05,6.9264e-05
26,579.339,1.51684,0.48571,0.85714,1.33718,5.8275e-05,5.8275e-05,5.8275e-05
27,601.332,1.46249,0.48571,0.91429,1.22065,4.7286e-05,4.7286e-05,4.7286e-05
28,623.006,1.44227,0.48571,0.88571,1.90922,3.6297e-05,3.6297e-05,3.6297e-05
29,645.152,1.51287,0.48571,0.88571,1.65013,2.5308e-05,2.5308e-05,2.5308e-05
30,666.898,1.34589,0.51429,0.91429,1.67793,1.4319e-05,1.4319e-05,1.4319e-05
